Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PYPL,PayPal Holdings Inc. Common Stock,$270.58,1.74,0.647%,317940199147.00,United States,,5072053,Miscellaneous,Business Services
TM,Toyota Motor Corporation Common Stock,$168.55,-7.18,-4.086%,234834781197.00,Japan,,649939,Capital Goods,Auto Manufacturing
TMO,Thermo Fisher Scientific Inc Common Stock,$551.88,7.22,1.326%,217120021980.00,United States,,805891,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TSLA,Tesla Inc. Common Stock,$673.47,-15.52,-2.253%,666745508458.00,United States,2010,14114719,Capital Goods,Auto Manufacturing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$110.52,0.07,0.063%,573165119520.00,Taiwan,1997,11941805,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),$427.89,10.57,2.533%,403464911738.00,United States,,3188280,Health Care,Medical Specialities
V,Visa Inc.,$231.57,-0.06,-0.026%,492507028437.00,United States,,5736185,Miscellaneous,Business Services
VZ,Verizon Communications Inc. Common Stock,$55.37,-0.10,-0.18%,229238223308.00,United States,,12668516,Public Utilities,Telecommunications Equipment
WMT,Walmart Inc. Common Stock,$150.11,1.01,0.677%,420630125102.00,United States,,7421487,Consumer Services,Department/Specialty Retail Stores
XOM,Exxon Mobil Corporation Common Stock,$52.73,-1.66,-3.052%,223235772613.00,United States,,30393064,Energy,Oil & Gas Production
